职位id,职位标题,薪资范围,公司名称,工作地点,所处行业,学历要求,每周天数,实习时长,福利待遇,职位描述,简历要求,截止日期,详细地址,详情页url
inn_6pbftbwixiem,大模型产品实习生(公安方向) J92638,150-200/天,百度,北京,互联网/游戏/软件,本科,5天／周,实习4个月,不打卡,"工作职责
-需求分析：负责客户需求收集与分析，挖掘用户核心痛点与未被满足的需求
-产品迭代：协同设计、核心算法、工程研发、测试质量、产品运营等部门，完成产品从设计到上线到发布的全流程
-AI运用：对Agent有一定了解，能够结合大模型能力设计产品功能
-产品运营：随版更新白皮书、用户手册、功能清单、报价单等资料

任职资格
-自驱力与学习能力强，能快速跟进AI技术趋势
-良好的沟通协调能力，能快速融入团队
-对创新产品有独特见解，能主动发现机会并将其转化为产品需求
-细心负责，事事有回应，职责范围内事项能自闭环", 中文,2025-12-31,北京市/北京市/海淀区 西二旗,https://www.shixiseng.com/intern/inn_6pbftbwixiem?pcm=pc_SearchList
inn_3hewfzfgyrzz,自动驾驶大模型算法工程师实习生(A129577),250-400/天,小米,北京,互联网/游戏/软件,硕士,5天／周,实习6个月,上市公司；世界五百强；餐补,"职责描述：
该职位专注于自动驾驶场景下多模态大模型（VLA：Vision-Language-Action）的工程化落地，你将有机会在千万级数据上实车验证关于自动驾驶VLA的最新想法：

多模态模型工程化部署：结合视觉、语言与行为动作的联合建模机制，优化多模态模型的推理效率，支持自动驾驶系统的实时应用；
实车测试与性能验证：参与自动驾驶场景中的模型测试与性能评估，设计测试案例，分析模型在实际驾驶环境中的响应能力与行为决策效果；
数据采集与处理：负责多模态数据（视觉、语言、行为）的采集、标注与处理，构建高质量数据 pipeline，优化数据流的实时性与稳定性；
模型优化与轻量化：探索模型蒸馏、小样本泛化等技术，提升模型在自动驾驶复杂场景中的部署效率与资源利用率；
系统集成与技术支持：协助完成多模态模型与自动驾驶系统的集成测试，解决工程化落地过程中的技术问题；
技术文档与成果转化：撰写工程化技术文档，总结实车测试经验，参与技术报告、专利申请或产品转化工作。
任职要求：
专业背景：计算机、人工智能、电子工程、自动化等相关专业硕士及以上学历在读，有自动驾驶或者多模态大模型经验者优先；
模型落地能力：熟悉多模态模型（如 GPT-4V、LLaVA、InterVL、QwenVL）的工程化应用；
编程与工具：熟练掌握 PyTorch 等工具，具备深度学习模型开发与调优经验；
数据处理能力：具备多模态数据构建与处理经验，能够高效组织数据 pipeline；

实习要求：持续时间不少于6个月", 中文,2026-03-05,北京市/北京市/海淀区,https://www.shixiseng.com/intern/inn_3hewfzfgyrzz?pcm=pc_SearchList
inn_fbqllc1kvqk1,大模型算法工程师（AI Agent方向）,400-500/天,构序智能科技有限公司,上海,互联网/游戏/软件,本科,5天／周,实习3个月,可转正实习；餐补；实习津贴,"【职位描述】
1. 核心算法与工程实现：参与公司核心大模型的算法研究、实现与工程化落地，将前沿技术转化为实际产品能力。
2. AI Agent 技术探索：深入探索AI Agent技术体系，重点研究包括多代理系统、提示词工程、RAG、任务规划与推理、长期记忆、自主迭代等关键方向，并具备将研究成果论文或原型工程化落地的能力。
3. 工作流平台使用经验：能够快速通过Coze、Dify等低代码平台，搭建出一套可验证的高效、可复用的智能体应用与业务流程。
【职位要求】
1. 内在驱动力：对大模型及AI Agent的原生应用充满热情与信心，具备强烈的好奇心、技术嗅觉和自主学习能力。
2. 工程基础：具备优秀的编程能力、扎实的数据结构与算法功底，熟练掌握Python等语言。
3. 数据处理能力：拥有良好的数据敏感度和数据处理技能。
教育背景与经验：
1. 本科及以上学历，计算机、数学、统计等相关专业优先；
2. 具备大模型相关研究方向在校科研经历，或大模型算法/工程相关经验。", 中文 英文,2025-12-20,上海市/上海/浦东新区 上海张江科学之门,https://www.shixiseng.com/intern/inn_fbqllc1kvqk1?pcm=pc_SearchList
inn_ttj6digoby3c,远程新媒体运营实习生(接受大一大二）,薪资面议,敏思跃动,武汉,教育/培训,大专,5天／周,实习1个月,接受大一大二；远程实习,"一个月拿到实习证明还能学全套运营流程？立刻加入开启远程实习之旅！

【岗位职责】
1. 媒体运营：负责智蛙面试App在媒体平台的内容规划与发布；
2. 用户运营：与用户互动，激发用户对产品的参与度。

【任职要求】
1. 在校学生：不限专业，对新媒体有认知和兴趣；
2. 行动力强：具有较强的执行力，按时按量完成工作。

【你将收获】
1. 实习满1个月，即可获得实习证明；
2. 资深导师全程辅导，深入了解从0到1的新媒体运营及用户增长方法；
3. 免费学习价值3000元运营课程（内容运营、用户运营、活动运营等）；
4. 表现优秀者更有机会获得长期带薪实习。

【温馨提示】 
本岗位不提供薪资，而是能力提升与资源收获，介意者慎投！

【我们是谁】 
我们是一家专注于人工智能与教育结合的创新科技公司，创始人毕业于哈佛大学校友和百万大V，凭借深厚的行业积累与高影响力，为年轻一代创造无限可能。公司旗下AI产品“智蛙面试”致力于公考教资等各类面试场景的AI面试培训，自各大应用市场上线以来深受用户青睐。

【过往实习生真实反馈】 
“我现在知道运营岗是分这么多位置，以及不同岗位对工作技能的要求。”
“把智蛙面试的运营经历放入简历，很快就找到了下一份实习。”
“我也能写出小红书爆款文案了。”", 中文,2026-09-03,湖北省/武汉市/青山区 武汉科技大学(青山校区),https://www.shixiseng.com/intern/inn_ttj6digoby3c?pcm=pc_SearchList
inn_ozqhqvqke6or,远程新媒体运营实习生(接受大一大二）,薪资面议,敏思跃动,杭州,教育/培训,大专,5天／周,实习1个月,接受大一大二；远程实习,"一个月拿到实习证明还能学全套运营流程？立刻加入开启远程实习之旅！

【岗位职责】
1. 媒体运营：负责智蛙面试App在媒体平台的内容规划与发布；
2. 用户运营：与用户互动，激发用户对产品的参与度。

【任职要求】
1. 在校学生：不限专业，对新媒体有认知和兴趣；
2. 行动力强：具有较强的执行力，按时按量完成工作。

【你将收获】
1. 实习满1个月，即可获得实习证明；
2. 资深导师全程辅导，深入了解从0到1的新媒体运营及用户增长方法；
3. 免费学习价值3000元运营课程（内容运营、用户运营、活动运营等）；
4. 表现优秀者更有机会获得长期带薪实习。

【温馨提示】 
本岗位不提供薪资，而是能力提升与资源收获，介意者慎投！

【我们是谁】 
我们是一家专注于人工智能与教育结合的创新科技公司，创始人毕业于哈佛大学校友和百万大V，凭借深厚的行业积累与高影响力，为年轻一代创造无限可能。公司旗下AI产品“智蛙面试”致力于公考教资等各类面试场景的AI面试培训，自各大应用市场上线以来深受用户青睐。

【过往实习生真实反馈】 
“我现在知道运营岗是分这么多位置，以及不同岗位对工作技能的要求。”
“把智蛙面试的运营经历放入简历，很快就找到了下一份实习。”
“我也能写出小红书爆款文案了。”", 中文,2026-09-03,浙江省/杭州市/西湖区 中国石油大厦,https://www.shixiseng.com/intern/inn_ozqhqvqke6or?pcm=pc_SearchList
inn_04cww27d4bkc,AI大模型部署系统研发工程师实习生,250-300/天,小红书,北京,互联网/游戏/软件,不限,5天／周,实习3个月,实习津贴,"【工作职责】
核心职责
参与小红书大模型平台推理部署等流程及工具的研发建设，完善平台现有功能
参与平台Quota管理模块的开发，实现多机房、多集群环境下的，各种异构计算资源的配额管理功能
参与平台大模型训练/压缩/推理/数据集/资源调度等流程及工具的研发建设
【任职资格】
任职要求
计算机/软件工程相关专业在校生，熟悉Go/Python/Java至少一门语言
了解Linux系统及算法基础，熟悉MySQL/Redis/MQ等组件使用
熟悉 Kubernetes 技术栈，有一定的云原生机器学习系统实践和开发经验
有大模型部署经验，对 vLLM/SGLang/Dynamo 等至少一种推理框架有使用经验
具备快速学习能力，熟练使用 Git，熟练使用 github copilot/cursor 等 AI 编程工具
加分项
接触过Volcano/联邦集群/OpenKruise等云原生技术，有分布式系统实践经验
熟悉大模型推理基本原理，了解大模型分布式部署架构，例如多机部署和 PD 分离部署
熟悉常见的大模型如 DeepSeek/Qwen 等的架构及主要特点，有英伟达 GPU、华为 Ascend NPU 使用经验
熟悉常见调度算法，对多租户Quota治理、抢占、弹性、碎片、潮汐、混部等问题有一定的理解和实践经验", 中文,2026-10-10,北京市/北京市/朝阳区 城奥大厦,https://www.shixiseng.com/intern/inn_04cww27d4bkc?pcm=pc_SearchList
inn_qlhy8e8pyjyf,大模型推理优化实习生-Seed 招聘,500-800/天,字节跳动,北京,互联网/游戏/软件,本科,4天／周,实习4个月,大牛带队；扁平管理；租房补贴,"日常实习：面相全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。
团队介绍：字节跳动 Seed 团队成立于 2023 年，致力于寻找通用智能的新方法，追求智能上限。团队研究方向涵盖 LLM、语音、视觉、世界模型、基础架构、AI Infra、下一代 AI 交互等，在中国、新加坡、美国等地设有实验室和岗位。
Seed 团队在 AI 领域拥有长期愿景与决心，坚持深耕基础，期望成为世界一流的 AI 研究团队，为科技和社会发展作出贡献。目前团队已推出业界领先的通用大模型以及前沿的多模态能力，支持豆包、扣子、即梦等超过 50 个应用场景。

1、负责音视频多模态场景下高性能推理计算平台开发，支撑各业务场景下的推理、性能优化需求并推动业务落地；
2、负责推理高性能方案建设，跟进前沿技术，补足关键能力，构建领先的高性能推理平台。

职位要求
1、本科及以上学历在读，计算机及相关专业优先；
2、精通C++，有良好的数据结构和算法基础，有高性能优化相关工作经验；熟悉主流的并行编程以及性能优化技术，熟悉CUDA和TensorCore编程，有相关高性能优化经验优先；
3、熟悉TVM/MLIR/XLA等自动化编译技术，深度学习常用算法和模型结构，有CV/NLP/语言场景模型优化经验优先，了解FasterTransformer模型推理优化框架优化，有量化/稀疏化高性能优化经验优先；
4、了解PyTorch/TensorFlow/Paddle深度学习框架优先。", 中文,2025-12-06,北京市/北京市/海淀区 鼎好DH3,https://www.shixiseng.com/intern/inn_qlhy8e8pyjyf?pcm=pc_SearchList
inn_covu3xgdtcgf,大语言模型预训练算法实习生(base深圳),250-500/天,小鹏汽车,深圳,互联网/游戏/软件,硕士,5天／周,实习3个月,一对一导师；周末双休；实习津贴；餐补,"【职位描述】
我们正在寻找对大语言模型（LLM）的底层原理、性能优化和高效预训练充满热情的算法实习生。您将加入我们的核心研发团队，主要负责LLM预训练阶段的算法设计、优化与实现，包括模型架构的探索、训练稳定性的提升、大规模分布式训练的优化等。我们的目标是基于业务需求，设计并训练对硬件计算友好的语言模型，从根本上突破模型的性能和训练效率极限，加速LLM在人形机器人、自动驾驶、多模态等前沿领域的落地。

【工作职责】
1.  LLM预训练算法研发与实现： 主导1~7B参数级别的Dense以及MoE Transformer模型以及其他前沿架构在预训练阶段的设计、实验与优化，以提升模型的基础能力和效率。
2. 基准测试与性能优化： 负责模型训练过程中的关键性能指标监测与优化，特别是MMLU, GSM8K, MATH等常见标准化测试的表现。通过算法迭代，持续提高模型在理解、推理和泛化能力方面的分数。
3. 训练稳定性与效率提升： 负责分析和解决超大规模训练过程中的数值不稳定、梯度爆炸/消失等问题，引入和实现如混合精度训练、梯度裁剪、学习率调度等优化策略。
4. 前沿技术追踪与转化： 紧密追踪全球LLM预训练、Scaling Law、新型优化器（如AdamW、Lion）等最新研究进展，评估并将业界顶尖的算法创新快速转化为我们的核心竞争力。
5. 跨团队协作： 与数据工程师紧密合作，分析数据对预训练效果的影响，并与系统/硬件工程师协作，共同调优底层计算资源以实现最高训练吞吐。

【岗位需求】
1. 教育背景： 计算机、人工智能、数学、物理等相关专业硕士及以上学位，有顶级会议（如NeurIPS, ICML, ICLR, AAAI等）论文发表经验者优先。
2. 核心算法理解： 深入理解Transformer、GPT、LLaMA、Qwen等主流模型架构的底层数学原理与训练细节，对Linear attention、RMSNorm、DynamicTanh (DyT)、Mixture of Experts (MoE)等关键模块有独到见解。
3. 分布式训练实战经验： 具备主导或深度参与LLM预训练的实际经验，熟悉PyTorch、DeepSpeed、Megatron-LM等分布式训练框架。
4. 专业素养： 具备严谨的实验设计和结果分析能力，能够主动发现并解决训练过程中的复杂算法问题。
5. 沟通协作： 具备优秀的沟通能力和团队合作精神，能够与数据、系统、硬件等不同背景的团队高效协作。
6. 加分项：有使用过大于128张GPU进行LLM预训练等经验。", 中文,2026-09-18,广东省/深圳市/南山区 深圳湾科技生态园12栋B座47层,https://www.shixiseng.com/intern/inn_covu3xgdtcgf?pcm=pc_SearchList
inn_rdxedfuxlhwd,SRCB-端侧多模态大模型算法实习生,200-300/天,中国三星,北京,电子/通信/硬件,硕士,4天／周,实习3个月,国际平台；Mentor制；实习证明,"岗位职责

基于多模态大模型技术研发与优化，主要包含：
- 基于多模态任务（VQA, video understanding，gui-agent）优化模型效果，提升模型运行速度；
- 对agent任务开发自动化评测工具和数据生成工具；
- 对新出现的多模态技术进行实践和创新。

任职要求

- 计算机/人工智能等相关专业，连续实习不少于3个月，每周实习不少于4天；
- 熟练使用Python，熟悉主流机器学习框架（PyTorch/TensorFlow, Transformers, TRL等）

公司介绍：
三星电子中国研究院是三星电子在华投资设立的具有独立法人资格的研发机构，是具备博士后工作站运营资质、聚集了600人研发团队，并由国家批准认定的软件企业。研究院专注于人工智能、5G/6G通信技术研究和标准化等前沿技术，也积极进行商用化的开发、推动先进技术在三星产品中的商用化落地，提升三星电子产品的竞争力。
新时代，新机遇。三星电子中国研究院希望把握人工智能、5G/6G与IoT技术发展的时代机遇，凝聚海内外计算机、电子及通信领域的优秀人才，坚守“做中国人民喜爱的企业，贡献于中国社会的企业”的承诺，与您一起携手共赢、创造未来! 真诚欢迎您的加入！

※ 请应聘者在应聘过程中对现公司、 前公司的商业秘密进行保密
※ 请应聘者确认您投递的简历不包含现公司、前公司的商业秘密", 中文,2025-12-31,北京市/北京市/朝阳区 太阳宫大厦（10号线太阳宫站）,https://www.shixiseng.com/intern/inn_rdxedfuxlhwd?pcm=pc_SearchList
inn_v54bkowhu2wp,AI大模型测评/标注实习生（产品运营）,200-250/天,美团,北京,互联网/游戏/软件,本科,5天／周,实习3个月,实习津贴,"岗位职责:
1. 负责AI大模型评测需求的全流程管理，包括需求对接、标准制定、执行监控和结果分析
2. 参与评测数据集建设，通过线上query构建和维护benchmark
3. 制定和维护评测标准及打分卡，确保评测质量
4. 协调合作团队执行人工评测，包括任务分配、质量管理和验收交付
5. 产出评测报告，为模型优化提供数据支持
岗位要求:
1. 在读本科或研究生，2026年及以后毕业
2. 对AI大模型有浓厚兴趣，学习能力强，能快速掌握新技术
3. 表达清晰流畅，具备优秀的需求理解和分析能力
4. 逻辑思维严谨，注重细节，有较强的数据敏感度
5. 良好的跨团队协作能力，能高效推进项目执行", 中文,2025-11-23,北京市/北京市/朝阳区 望京数字创意园B座(2号楼),https://www.shixiseng.com/intern/inn_v54bkowhu2wp?pcm=pc_SearchList
inn_emtwxqusfskp,大模型研发实习生（DeepSeek 应用方向）,150-300/天,地平线,北京,互联网/游戏/软件,不限,5天／周,实习3个月,房补；实习津贴；不打卡；周末双休；免费咖啡,"岗位职责:
岗位职责：
1、调用与集成 DeepSeek 系列模型（如 DeepSeek-VL、DeepSeek-Coder、DeepSeek-LLM 等）至公司内部系统或产品中。
2、编写调用大模型的推理接口（如 RESTful API / LangChain Agent 等）。
3、参与基于 DeepSeek 模型的下游任务开发，如对话系统、代码生成、文本生成、多模态问答等。
4、支持模型调用调优、Prompt 工程、性能测试、异常处理等工作。
5、与算法、产品、前端团队协作，推动模型功能在真实业务中落地。
任职要求:
任职要求：
1、计算机、人工智能、数学等相关专业在读，本科或研究生皆可；
2、熟悉 Python 编程，了解主流深度学习框架（如 PyTorch）；
3、有使用过 OpenAI / Claude / DeepSeek / ChatGLM 等大语言模型 API 的经验；
4、掌握基本的 Web 开发技能（如 FastAPI / Flask），了解 REST API 调用流程；
5、良好的沟通能力与自我驱动力，热爱 AI 技术，有快速学习的能力。", 中文,2026-01-18,北京海淀,https://www.shixiseng.com/intern/inn_emtwxqusfskp?pcm=pc_SearchList
inn_tvql3zgyiimw,蔚来乐道大平台-市场活动实习生(A249400),150/天,NIO蔚来,青岛,汽车/机械/制造,本科,4天／周,实习3个月,活动策划；市场活动；实习,"职职位描述
1、协助策划线下活动运营并执行；
2、熟悉活动策划及协助落地执行，对活动过程、现场执行有把控能力，统筹活动流程、进度、团队、外部等资源的管理与协调，确保活动顺利执行；
3、能一定掌握基本PS、Al技能（加分）
4、有一定拍摄水平（加分）
职位要求
1、26届统招本科及以上学历在校生，具备活动策划整合及分析经验优先；
2、具备较强的抗压能力，工作有强烈责任心，考虑问题细致，能够适应工作内容变化；
3、较强的语言表达和文字沟通能力，能够跨部门完成公司内部项目沟通
4、协助确保线下活动高质量的开展，为用户提供符合蔚来调性的活动体验
5、能保证3个月以上完整实习期，每周到岗至少4天及以上；", 中文,2026-01-15,山东省/青岛市/市北区 乐道中心(青岛银川西路汽车城),https://www.shixiseng.com/intern/inn_tvql3zgyiimw?pcm=pc_SearchList
inn_gmbyrcyoqnei,【2026校招暑期实习】大模型算法实习生,300/天,北京陌陌信息技术有限公司,北京,互联网/游戏/软件,不限,4天／周,实习3个月,暑期实习,"岗位职责
1、LLM和多模态大模型的研发，面向具体业务场景问题，对大模型进行CPT、SFT等训练，对齐业界一流水平；
2、AI应用落地，内容理解/内容生成类AI native产品功能研发、现有业务场景下（多模态内容理解、用户理解、推荐分发等）的AI赋能提效。
岗位要求
1、2026届毕业生，计算机及相关专业优先；
2、拥有机器学习领域的研究经历，在机器学习（ML）、计算机视觉（CV）、自然语言处理（NLP）等领域发布过论文者优先；
3、熟练掌握以下至少一门编程语言：C/C++/Java/Python，可以胜任算法的实现与开发；
4、对技术与研究有热情，愿意挑战新的算法和新的领域，对前沿研究领域保持敏感；
5、具备良好的沟通协作能力，有优秀外语能力优先（英语/日语/阿拉伯语/土耳其语等）。", 中文,2026-06-14,北京市/北京市/朝阳区 望京SOHO T2 望京街10号,https://www.shixiseng.com/intern/inn_gmbyrcyoqnei?pcm=pc_SearchList
inn_0l92qvxuxyqw,校招-科学智能大模型评测实习生(A10695),250-300/天,上海科学智能研究院,上海,互联网/游戏/软件,硕士,5天／周,实习3个月,实习津贴；地铁周边；一对一导师,"职责描述：
1、调研与整理：调研国内外在科学智能（AI4Science）大模型评测方面的最新进展，整理 benchmark、论文、工具和评测框架。
2、数据集与任务构建：协助构建科学大模型评测数据集，包括问答、推理、计算、跨模态任务等。
3、模型实验与分析：参与不同大模型的性能测试，对比分析在科学任务中的表现。
4、指标设计与改进：协助开发科学智能模型的评测指标（准确性、可解释性、可靠性、科研安全性等）。
5、报告与论文支持：协助撰写技术报告、可视化结果，总结评测结论，支持科研论文和项目申请。
任职要求：
1、专业背景：计算机科学、人工智能、数学、物理、化学、生物信息学或相关专业硕士/博士在读。
2、实习周期不少于3个月。
3、技术能力：
熟悉 Python，掌握常用深度学习框架（PyTorch/TensorFlow）。
具备基础的大模型使用经验（如 HuggingFace、LangChain、Qwen、chatGPT 等）。
了解科学计算或 AI for Science 的基础知识（如分子模拟、科学计算任务、数理推理）。
4、科研素养：能阅读英文论文，总结相关工作，具有良好的文献调研与分析能力。具备良好的逻辑思维、数据分析能力和团队协作精神。
加分项：
有大模型评测或 benchmark 构建经验。
有多模态数据处理经验（图像/表格/文本/公式）。
在 NeurIPS/ICML/AAAI、Nature/Science 子刊等发表或投稿经历。", 中文,2026-05-30,上海市/上海市/徐汇区,https://www.shixiseng.com/intern/inn_0l92qvxuxyqw?pcm=pc_SearchList
inn_qjiahwmrwhwc,校招实习-蔚来顾问大平台-济南(A204140),150/天,NIO蔚来,济南,汽车/机械/制造,本科,5天／周,实习3个月,销售；市场营销,"职责描述：
作为用户用车全流程的朋友，我们期待你
1、准确地向用户传递并耐心讲解蔚来品牌与产品，并传递蔚来价值观；
2、为用户提供全面的试驾服务体验，并不断增强现有用户品牌忠诚度；
3、根据销售策略和团队目标，制定团队工作计划和目标分配，完成销售并向客户交付车辆；
4、开展营销活动，不断创新、积极主动地吸引潜在用户；
5、支持公司新店的开设，确保公司文化和价值观在新团队传承；
6、承担内部培训师的角色，并根据业务发展需要，完成团队指定的其他工作。
你将收获
1、加入新星训练营，了解NIO的商业模式，深刻理解价值观，加快角色转变；
2、干货满满的公开课和技能培训，快速融入职场，成为最闪亮的NIOer；
3、趣味社区活动，集群特色培养，在岗培训和行业分享，让你快速成长！
任职要求：
1、26/27届应届毕业生，本科及以上学历；
2、对销售数据敏感，优秀的数据分析能力和逻辑分析能力;
3、优秀的沟通能力和谈判能力，良好的自我管理能力及自我学习能力；
4、抗压能力强，能够应在高速发展的环境中开展销售管理工作，达到公司业结指标要求；
5、认可蔚来汽车的创业公司文化，具备创业公司必要的心理素质；
6、C1及以上驾照，驾驶技术熟练；
7、本岗位将邀请您提前参与带薪实习体验，快人一步，融入NIO！", 中文,2026-01-15,山东省/济南市/历城区 蔚来体验中心(济南工业北路店),https://www.shixiseng.com/intern/inn_qjiahwmrwhwc?pcm=pc_SearchList
inn_28ntclczma5r,软件开发实习生（UI),200/天,EB,上海,汽车/机械/制造,本科,3天／周,实习6个月,地铁周边；实习津贴,"Responsibilities： 
1, Assist in UI design and development using relevant tools and languages (e.g., HTML, CSS, JavaScript). 
2, Developing modern user interfaces with React 18, TypeScript, and Vite, integrated with a Rust backend through the Tauri framework, and extensively utilizing data visualization and other complex features.
3, Assist with project document management, and report preparation. 
 4, Communicate effectively with team members and external partners to ensure clear information flow. 
5,Support project coordination, track progress, to ensure timely task completion. 
6, Capable of independently owning the end-to-end development process — from understanding requirements and designing technical solutions to implementation — for assigned functional modules. 
7, Other tasks assigned by Supervisor. 

 Qualification
 1,Current undergraduate or graduate students majoring in Computer Science, Software Engineering, or related fields. 
2，Available to work 3 days per week. Candidates who can commit to a continuous internship of 6 months or longer will be given priority. 
 3,Proficient in English, with at least CET-4 certification. 
4, Proficient in React and TypeScript, with an understanding of HTML5 and CSS3 
 5,Basic knowledge of C programming. 
6,Proficiency in office software (e.g., Microsoft Office Outlook, Excel, PPT...). 
7,Good communication and teamwork skills. 
8,Quick learner with problem-solving abilities. 
9,Strong sense of responsibility and autonomy: Able to work with minimal supervision, proactively manage task priorities, take full ownership of assigned work from start to finish, and drive tasks to completion. 

Nice-to-have：
• Practical experience with any of the following: Ant Design, Tailwind CSS, ECharts, or React Router. 
• Familiarity with or strong interest in learning Vite, Tauri, or Rust.对 Vite、
• Personally developed independent projects or technical blogs", 不限,2025-12-06,上海市/上海市/杨浦区 北美广场A座,https://www.shixiseng.com/intern/inn_28ntclczma5r?pcm=pc_SearchList
inn_sr7p1qvbrzmx,渲染引擎开发实习生,250-300/天,网易,上海,互联网/游戏/软件,不限,5天／周,实习3个月,餐补；周末双休,"职位描述：
1. 游戏渲染引擎相关功能开发和性能优化
2. 游戏渲染功能相关工具开发
职位要求：
1. 掌握 C++编程，有良好的工程能力
2. 对实时图形渲染基础有较好的了解，有过相关的开发和Debug 经验
3. 使用过游戏引擎，掌握游戏引擎的基本使用方法
4. 思维敏捷，责任心强，有较强的学习能力
5. 善于沟通，有良好的团队合作精神", 中文,2025-12-31,上海市/上海市/青浦区 网易上海国际文创科技园,https://www.shixiseng.com/intern/inn_sr7p1qvbrzmx?pcm=pc_SearchList
inn_euslg5jllatd,XC软件开发实习生,180-200/天,博世中国,上海,汽车/机械/制造,本科,5天／周,实习3个月,世界500强；1v1导师；不加班；免费班车,"关于我们 
博世集团（Bosch Group）成立于1886年，全称是罗伯特·博世有限公司（BOSCH），是工业技术、消费品和能源及建筑技术的产业。博世公司以其创新尖端的产品及系统解决方案闻名于世。 
博世集团是全球第一大汽车技术供应商，员工人数超过 42万，遍布 50 多个国家。2022年销售额达到884亿欧元，其中在中国销售额达到1323亿人民币。 2018年7月19日，《世界500强排行榜发布，博世集团位列75位。2022年12月，位列《2022胡润世界500强》第58位。 
 
职责描述:
 参与公司自动驾驶仿真平台的功能开发、维护与性能优化。
 使用 C++ 或 Python 完成仿真相关模块的实现，例如传感器模拟、车辆动力学、场景管理、数据处理等。
 协助构建或改进世界模型（World Model）相关工具链，包括环境表达、地图加载、动态物体建模等。
 配合研发团队进行仿真系统功能验证、调试和问题定位。
 根据项目需求撰写相关技术文档、测试用例与实验报告。



岗位要求:
计算机、自动化、人工智能、机器人等相关专业本科或硕士在读；
熟练掌握 C++ 或 Python，具备良好的代码风格与工程基础；
具备基本的数据结构、算法与软件工程知识；
对自动驾驶、仿真系统、机器人相关技术有浓厚兴趣；
良好的英文阅读能力，能够阅读技术文档和论文；
每周可实习 3 天以上，持续 3 个月及以上。

加分项 
有 自动驾驶仿真（如 Carla、LGSVL、Unreal/Unity 仿真、Gazebo 等） 使用或开发经验；
有世界模型（World Model）、场景重建或环境建模的相关项目经验；
熟悉 ROS/ROS2、OpenCV、PCL、PyTorch 或其他常见自动驾驶工具链；
具有多线程、异步编程、性能分析与优化经验；
参与过自动驾驶/机器学习/机器人相关科研或比赛。


 
福利:
500强外企，跨文化交流，大平台新视野。
公司有食堂，工作氛围轻松愉快，可优先接触内部转正机会！
与行业专家一对一指导，快速提升专业技能和职场竞争力。
在世界百强外企中积累宝贵的实习经验，为你的简历增色。

投递岗位即默认同意博世集团网上招聘相关隐私协议
协议地址：请通过访问博世中国官方主页，博世在中国＆gt;加入博世＆gt;工作机会，在网上招聘数据隐私声明；", 中文,2026-02-11,博世贸易（上海）有限公司 福泉北路333号,https://www.shixiseng.com/intern/inn_euslg5jllatd?pcm=pc_SearchList
inn_koou74i8km35,Java后端开发工程师,100-200/天,钧誉资产,广州,金融/经济/投资/财会,本科,4天／周,实习3个月,可转正实习；生日会；实习证明；实习津贴；定期团建；年终奖；周末双休,"工作职责：
1. 参与相关系统的架构设计与核心代码开发，承担Web系统详细设计及模块代码开发；
2. 根据开发规范与流程和设计文档完成系统编码，修改，单元测试，部署，实施等任务；
3. 积极配合项目整合测试，负责相关项目后续维护和产品升级。
任职要求：
1、本科及以上学历，有面向对象、多层架构系统开发应用经验者优先；
2、Java基本功扎实，熟悉Java SE和Java EE技术，掌握Java多线程、线程池等技术，了解常见算法和设计模式，对内存优化有深入理解；
3、熟练掌握Spring、Spring MVC、Mybatis， Redis、Kafka、RabbitMQ等开源框架，有Spring Boot、Spring Cloud开发经验更优；
4、熟悉数据库原理，掌握常用的数据库技术，如Oracle、MySQL。", 中文,2026-03-31,广东省广州市天河区富力盈泰大厦,https://www.shixiseng.com/intern/inn_koou74i8km35?pcm=pc_SearchList
inn_nykyofy1afje,Web前端开发实习生,250-400/天,哔哩哔哩,上海,互联网/游戏/软件,本科,4天／周,实习3个月,上市公司；五险一金,"工作职责:工作职责1. 参与猫耳点播业务的前端开发与迭代，协助优化用户体验；2. 支持线上活动页面的开发，实现游戏化、场景化等互动玩法；3. 参与前端工具链和开发流程的改进，提升团队研发效率；4. 学习和应用前端新技术与最佳实践，协助提升代码质量。
工作要求:任职要求1. 2027 届本科及以上学历，计算机相关专业优先；2. 掌握 HTML5、CSS3 及 JavaScript（ES6+），具备良好的编码基础；3. 了解 React/Vue 等主流框架，对 TypeScript、Webpack 等有基本认知；4. 熟悉 Git 等版本管理工具，对前端工程化有初步理解；5. 具备较强的逻辑思维能力和问题解决意愿，能主动跟进技术问题。【优先考虑】1. 有前端性能优化或 CI/CD 相关知识者优先；2. 有个人技术博客、GitHub 项目或其他技术作品集；3. 熟悉二次元文化，对ACGN领域有浓厚兴趣。", 中文 英文,2026-12-02,政立路485号国正中心3号楼,https://www.shixiseng.com/intern/inn_nykyofy1afje?pcm=pc_SearchList
